question,label
날씨 알려주겠니,O O
날씨 정보 알려주세요,O O O
그 때 기온 어떨까,O O O O
그 때 기온 좋으려나,O O O O
기온 어떨 것 같은데,O O O O
따뜻하니 기온,O O
인천 기온 따뜻해,S-LOCATION O O
부산 시원해,S-LOCATION O
부산 시원하니,S-LOCATION O
시원한 기온니,O O
밀양 지금 기온 시원해,S-LOCATION S-DATE O O
구름 껴서 기온 쌀쌀해,O O O O
모레 기온 알려줘,S-DATE O O
기온 어떠려나,O O
전주 기온 어떤지 말해줘,S-LOCATION O O O
기온 궁금해서 물어봤어,O O O
기온 알려주세요,O O
기온 어떠려나,O O
체감 기온 어떠려나,O O O
모레 날씨 알려주겠니,S-DATE O O
날씨 궁금해,O O
지금 날씨 어떤데,S-DATE O O
저기 날씨 어때,O O O
날씨 완전 문젠데,O O O
전주 날씨 시원할까,S-LOCATION O O
시원한 날씨니,O O
전주 날씨 한 번 알려줘,S-LOCATION O O O O
모레 날씨 궁금해,S-DATE O O
날씨 궁금해요,O O
날씨 어떨까,O O
하늘 우박 떨어지네,O O O
지금 날씨 어때,S-DATE O O
체감날씨 좀 알려줄래,O O O
궁금해 체감날씨,O O
어때 좀 체감온도,O O O
화요일 근데 온도 어떠려나,S-DATE O O O
해 떴니 지금,O O S-DATE
하늘 해 떴니 지금,O O O S-DATE
날씨 어때 지금,O O S-DATE
날씨 알려주세요,O O
아 온도 흐리네,O O O
어떤데 온도,O O
온도 알려줬으면 졸겠어,O O O
천둥 치나,O O
하늘 구름 많네,O O O
화요일 여행갈건데 온도 알려줘,S-DATE O O O
온도 궁금하네,O O
모레 맑니,S-DATE O
화요일 해 뜰까,S-DATE O O
온도 많이 흐리려나,O O O
알려주세요 온도,O O
구름 꼈나,O O
구름 끼었나,O O
지금 하늘 구름 많니,S-DATE O O O
온도 알려주세요 궁금해요,O O O
맑으려나 화요일,O S-DATE
기상상태 궁금해서,O O
비 안 내려야 하는데,O O O O
기상상태 따뜻하려나,O O
날씨 따뜻하겠지,O O
부천 현재 바람 시원하니,S-LOCATION S-DATE O O
날씨 알려주세요,O O
화요일 맑겠지,S-DATE O
서울 다음 주 기상상태 알려줄래요,S-LOCATION B-DATE E-DATE O O
부안 기상상태 어떻게 돼,S-LOCATION O O O
모레 서천 기상상태 좀 알려줄수 있니,S-DATE S-LOCATION O O O O
화요일 기상상태 영덕 알려줄수 있어,S-DATE O S-LOCATION O O
이번 주 날씨 기상상태 알려줄래,B-DATE E-DATE O O O
구암 다음 주 기상상태 알려줘,S-LOCATION S-DATE S-DATE O O
